Sid|Category|Course Number|Serie Name|Professor Name|Date|Url|Corpus|Description
10|Maths|PLUl4u3cNGP61iQEFiWLE21EJCxwmWvvek|A Vision of Linear Algebra|Gilbert Strang View the complete course: https://ocw.mit.edu/2020-vision YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP61iQEFiWLE21EJCxwmWvvek  Professor Strang introduces his updated vision of how to start learning linear algebra, based on matrices. These brief videos provide an overview of his full Linear Algebra course on MIT OpenCourseWare.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|2020-04-23T16:56:07Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP61iQEFiWLE21EJCxwmWvvek|MIT OpenCourseWare|Instructor: Gilbert Strang View the complete course: https://ocw.mit.edu/2020-vision YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP61iQEFiWLE21EJCxwmWvvek  Professor Strang introduces his updated vision of how to start learning linear algebra, based on matrices. These brief videos provide an overview of his full Linear Algebra course on MIT OpenCourseWare.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu
11|Maths|PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k|MIT 18.065 Matrix Methods in Data Analysis, Signal Processing, and Machine Learning, Spring 2018|Gilbert Strang View the complete course: https://ocw.mit.edu/18-065S18  Linear algebra concepts are key for understanding and creating machine learning algorithms, especially as applied to deep learning and neural networks. This course reviews linear algebra with applications to probability and statistics and optimization–and above all a full explanation of deep learning.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|2019-04-03T21:02:25Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k|MIT OpenCourseWare|Instructor: Gilbert Strang View the complete course: https://ocw.mit.edu/18-065S18  Linear algebra concepts are key for understanding and creating machine learning algorithms, especially as applied to deep learning and neural networks. This course reviews linear algebra with applications to probability and statistics and optimization–and above all a full explanation of deep learning.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu
12|Maths|PL1C22D4DED943EF7B|MIT Calculus Revisited: Multivariable Calculus|Herbert Gross  This course is a study of the calculus of  functions of several variables (vector arithmetic and vector calculus).  View the complete course at: https://ocw.mit.edu/RES18-007F11  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|2011-12-20T17:09:33Z|https://www.youtube.com/playlist?list=PL1C22D4DED943EF7B|MIT OpenCourseWare|Instructor: Herbert Gross  This course is a study of the calculus of  functions of several variables (vector arithmetic and vector calculus).  View the complete course at: https://ocw.mit.edu/RES18-007F11  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu
13|Maths|PLUl4u3cNGP62uI_DWNdWoIMsgPcLGOx-V|MIT RES.LL-005 Mathematics of Big Data and Machine Learning, IAP 2020|Jeremy Kepner, Vijay Gadepally View the complete course: https://ocw.mit.edu/RES-LL-005IAP20 YouTube Playlist: https://www.youtube.com/playlist?list...  This January 2020 IAP class focused on artificial intelligence and machine learning with an emphasis on the data handling challenges.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|2020-05-18T12:49:33Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP62uI_DWNdWoIMsgPcLGOx-V|MIT OpenCourseWare|Instructor: Jeremy Kepner, Vijay Gadepally View the complete course: https://ocw.mit.edu/RES-LL-005IAP20 YouTube Playlist: https://www.youtube.com/playlist?list...  This January 2020 IAP class focused on artificial intelligence and machine learning with an emphasis on the data handling challenges.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu
14|Maths|PLUl4u3cNGP61O7HkcF7UImpM0cR_L2gSw|MIT 18.100A Real Analysis, Fall 2020|Dr. Casey Rodriguez View the complete course: http://ocw.mit.edu/courses/18-100a-real-analysis-fall-2020/  This course covers the fundamentals of mathematical analysis: convergence of sequences and series, continuity, differentiability, Riemann integral, sequences and series of functions, uniformity, and the interchange of limit operations. It shows the utility of abstract concepts through a study of real numbers, and teaches an understanding and construction of proofs.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|2022-04-08T16:00:04Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP61O7HkcF7UImpM0cR_L2gSw|MIT OpenCourseWare|Instructor: Dr. Casey Rodriguez View the complete course: http://ocw.mit.edu/courses/18-100a-real-analysis-fall-2020/  This course covers the fundamentals of mathematical analysis: convergence of sequences and series, continuity, differentiability, Riemann integral, sequences and series of functions, uniformity, and the interchange of limit operations. It shows the utility of abstract concepts through a study of real numbers, and teaches an understanding and construction of proofs.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.
15|Computer Science|PLUl4u3cNGP61O2kne_fe_Clsqvu0b3kcu|AI 101 with Brandon Leshchinskiy|"Brandon Leshchinskiy View the complete course: http://ocw.mit.edu/courses/res-6-013-ai-101-fall-2021/  This is a video of Brandon Leshchinskiy's presentation ""AI 101,"" which provides an introductory overview of the application of artificial intelligence in solving real-world problems: which tasks machine learning handles well, how it works, and what its shortcomings are.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments."|2022-06-08T16:05:58Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP61O2kne_fe_Clsqvu0b3kcu|MIT OpenCourseWare|"Instructor: Brandon Leshchinskiy View the complete course: http://ocw.mit.edu/courses/res-6-013-ai-101-fall-2021/  This is a video of Brandon Leshchinskiy's presentation ""AI 101,"" which provides an introductory overview of the application of artificial intelligence in solving real-world problems: which tasks machine learning handles well, how it works, and what its shortcomings are.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments."
16|Computer Science|PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA|6.0001 Introduction to Computer Science and Programming in Python. Fall 2016|Dr. Ana Bell  6.0001 Introduction to Computer Science and Programming in Python is intended for students with little or no programming experience. It aims to provide students with an understanding of the role computation can play in solving problems and to help students, regardless of their major, feel justifiably confident of their ability to write small programs that allow them to accomplish useful goals. The class uses the Python 3.5 programming language.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|2017-01-09T19:43:24Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA|MIT OpenCourseWare|View the complete course: http://ocw.mit.edu/6-0001F16 Instructor: Dr. Ana Bell  6.0001 Introduction to Computer Science and Programming in Python is intended for students with little or no programming experience. It aims to provide students with an understanding of the role computation can play in solving problems and to help students, regardless of their major, feel justifiably confident of their ability to write small programs that allow them to accomplish useful goals. The class uses the Python 3.5 programming language.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu
17|Computer Science|PLUl4u3cNGP619EG1wp0kT-7rDE_Az5TNd|MIT 6.0002 Introduction to Computational Thinking and Data Science, Fall 2016|John Guttag  This course provides students with an understanding of the role computation can play in solving problems. Student will learn to write small programs using the Python 3.5 programming language.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|2017-05-11T14:55:27Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP619EG1wp0kT-7rDE_Az5TNd|MIT OpenCourseWare|View the complete course: http://ocw.mit.edu/6-0002F16 Instructor: John Guttag  This course provides students with an understanding of the role computation can play in solving problems. Student will learn to write small programs using the Python 3.5 programming language.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu
18|Computer Science|PLUl4u3cNGP63EdVPNLG3ToM6LaEUuStEY|MIT 6.006 Introduction to Algorithms, Spring 2020|Prof. Erik Demaine, Dr. Jason Ku, Prof. Justin Solomon  View the complete course: https://ocw.mit.edu/6-006S20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP63EdVPNLG3ToM6LaEUuStEY  This course is an introduction to mathematical modeling of computational problems, as well as common algorithms, algorithmic paradigms, and data structures used to solve these problems. It emphasizes the relationship between algorithms and programming and introduces basic performance measures and analysis techniques for these problems.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|2021-06-25T20:00:17Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP63EdVPNLG3ToM6LaEUuStEY|MIT OpenCourseWare|Instructor: Prof. Erik Demaine, Dr. Jason Ku, Prof. Justin Solomon  View the complete course: https://ocw.mit.edu/6-006S20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP63EdVPNLG3ToM6LaEUuStEY  This course is an introduction to mathematical modeling of computational problems, as well as common algorithms, algorithmic paradigms, and data structures used to solve these problems. It emphasizes the relationship between algorithms and programming and introduces basic performance measures and analysis techniques for these problems.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.
19|Computer Science|PL9B24A6A9D5754E70|MIT 6.01SC Introduction to EECS I|Dennis Freeman, Kendra Pugh  This course provides an integrated introduction to electrical engineering and computer science, including modern software engineering, linear systems analysis, electronic circuits, and decision-making.  The lecture videos provide an overview of each topic, while the recitation videos are designed to review key concepts.  View the complete course at: http://ocw.mit.edu/6-01SCS11  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|2011-12-19T18:13:39Z|https://www.youtube.com/playlist?list=PL9B24A6A9D5754E70|MIT OpenCourseWare|Instructor: Dennis Freeman, Kendra Pugh  This course provides an integrated introduction to electrical engineering and computer science, including modern software engineering, linear systems analysis, electronic circuits, and decision-making.  The lecture videos provide an overview of each topic, while the recitation videos are designed to review key concepts.  View the complete course at: http://ocw.mit.edu/6-01SCS11  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu
20|Computer Science|PLUl4u3cNGP6317WaSNfmCvGym2ucw3oGp|MIT 6.046J Design and Analysis of Algorithms, Spring 2015|Erik Demaine, Srinivas Devadas, Nancy Ann Lynch  6.046 introduces students to the design of computer algorithms, as well as analysis of sophisticated algorithms.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|2016-01-22T20:39:37Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP6317WaSNfmCvGym2ucw3oGp|MIT OpenCourseWare|View the complete course: http://ocw.mit.edu/6-046JS15 Instructors: Erik Demaine, Srinivas Devadas, Nancy Ann Lynch  6.046 introduces students to the design of computer algorithms, as well as analysis of sophisticated algorithms.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu
21|Computer Science|PLUl4u3cNGP60UlabZBeeqOuoLuj_KNphQ|MIT 6.042J Mathematics for Computer Science, Spring 2015|Albert R. Meyer  This subject offers an interactive introduction to discrete mathematics oriented toward computer science and engineering. The subject coverage divides roughly into thirds:  1)Fundamental concepts of mathematics: Definitions, proofs, sets, functions, relations. 2)Discrete structures: graphs, state machines, modular arithmetic, counting. 3)Discrete probability theory.  On completion of 6.042J, students will be able to explain and apply the basic methods of discrete (noncontinuous) mathematics in computer science. They will be able to use these methods in subsequent courses in the design and analysis of algorithms, computability theory, software engineering, and computer systems.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|2015-11-02T17:25:49Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP60UlabZBeeqOuoLuj_KNphQ|MIT OpenCourseWare|MIT 6.042J Mathematics for Computer Science, Spring 2015 View the complete course: http://ocw.mit.edu/6-042JS15 Instructor: Albert R. Meyer  This subject offers an interactive introduction to discrete mathematics oriented toward computer science and engineering. The subject coverage divides roughly into thirds:  1)Fundamental concepts of mathematics: Definitions, proofs, sets, functions, relations. 2)Discrete structures: graphs, state machines, modular arithmetic, counting. 3)Discrete probability theory.  On completion of 6.042J, students will be able to explain and apply the basic methods of discrete (noncontinuous) mathematics in computer science. They will be able to use these methods in subsequent courses in the design and analysis of algorithms, computability theory, software engineering, and computer systems.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu
22|Computer Science|PLUl4u3cNGP62QumaaZtCCjkID-NgqrleA|MIT 6.S095 Programming for the Puzzled, January IAP 2018|Srini Devadas  Do you like solving recreational puzzles but think programming is difficult or boring? In these videos, Prof. Devadas describes algorithmic puzzles that you will want to solve and whose solutions you will want to code! All code examples use Python.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|2018-05-03T16:17:57Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP62QumaaZtCCjkID-NgqrleA|MIT OpenCourseWare|MIT 6.S095 Programming for the Puzzled, IAP 2018 View the complete course: https://ocw.mit.edu/6-S095IAP18 Instructor: Srini Devadas  Do you like solving recreational puzzles but think programming is difficult or boring? In these videos, Prof. Devadas describes algorithmic puzzles that you will want to solve and whose solutions you will want to code! All code examples use Python.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu
23|Computer Science|PLUl4u3cNGP63d33STUUBfZUpzFCVR5-PV|MIT 6.890 Algorithmic Lower Bounds, Fall 2014|Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|2015-07-14T18:41:30Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP63d33STUUBfZUpzFCVR5-PV|MIT OpenCourseWare|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu
24|Computer Science|PLUl4u3cNGP62K2DjQLRxDNRi0z2IRWnNh|MIT 6.858 Computer Systems Security, Fall 2014|Nickolai Zeldovich  This is a class on the design and implementation of secure computer systems, focusing on threat models, attacks that compromise security, and techniques for achieving security. * Now with less squeaking chairs! *  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|2015-07-07T16:07:55Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP62K2DjQLRxDNRi0z2IRWnNh|MIT OpenCourseWare|View the complete course: http://ocw.mit.edu/6-858F14 Instructor: Nickolai Zeldovich  This is a class on the design and implementation of secure computer systems, focusing on threat models, attacks that compromise security, and techniques for achieving security. * Now with less squeaking chairs! *  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu
